"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 04, 2018","11,626.50","11,634.00","11,652.80","11,581.50","-","-0.13%"
"Sep 03, 2018","11,641.75","11,755.15","11,775.05","11,620.00","8.02M","-0.80%"
"Aug 31, 2018","11,735.30","11,709.00","11,793.00","11,686.35","9.46M","0.50%"
"Aug 30, 2018","11,676.80","11,715.00","11,715.00","11,642.10","10.66M","-0.26%"
"Aug 29, 2018","11,707.10","11,751.95","11,763.85","11,693.30","10.38M","-0.39%"
"Aug 28, 2018","11,752.45","11,735.00","11,761.70","11,715.05","10.35M","0.40%"
"Aug 27, 2018","11,705.35","11,616.20","11,712.90","11,614.00","8.56M","1.16%"
"Aug 24, 2018","11,571.60","11,580.00","11,605.75","11,541.00","6.77M","-0.21%"
"Aug 23, 2018","11,595.40","11,614.95","11,622.00","11,553.30","6.55M","-0.41%"
"Aug 22, 2018","11,643.50","11,601.75","11,659.25","11,577.75","-","0.49%"
"Aug 21, 2018","11,586.55","11,578.95","11,592.35","11,553.00","5.18M","0.07%"
"Aug 20, 2018","11,578.95","11,518.95","11,585.35","11,510.05","5.19M","0.79%"
"Aug 17, 2018","11,488.45","11,439.75","11,507.45","11,420.00","6.63M","0.68%"
"Aug 16, 2018","11,410.90","11,419.90","11,460.00","11,377.00","7.29M","0.22%"
"Aug 15, 2018","11,386.25","11,497.75","11,497.75","11,320.75","-","-0.67%"
"Aug 14, 2018","11,463.45","11,394.75","11,478.15","11,390.20","6.07M","0.72%"
"Aug 13, 2018","11,381.15","11,374.00","11,427.70","11,354.05","7.76M","-0.51%"
"Aug 10, 2018","11,439.25","11,465.00","11,485.45","11,430.20","5.91M","-0.42%"
"Aug 09, 2018","11,487.55","11,498.00","11,504.70","11,467.00","4.69M","0.17%"
"Aug 08, 2018","11,467.65","11,428.25","11,476.60","11,398.95","6.75M","0.43%"
"Aug 07, 2018","11,418.35","11,432.25","11,445.05","11,376.20","5.36M","0.04%"
"Aug 06, 2018","11,414.25","11,420.15","11,447.40","11,386.55","4.74M","0.16%"
"Aug 03, 2018","11,395.75","11,306.00","11,406.90","11,302.20","6.91M","1.01%"
"Aug 02, 2018","11,282.30","11,343.90","11,343.90","11,274.00","7.27M","-0.81%"
"Aug 01, 2018","11,374.30","11,379.95","11,402.75","11,341.00","7.57M","0.02%"
"Jul 31, 2018","11,371.60","11,330.00","11,379.50","11,290.60","6.16M","0.29%"
"Jul 30, 2018","11,338.50","11,325.15","11,345.20","11,285.00","6.29M","0.28%"
"Jul 27, 2018","11,306.70","11,234.30","11,312.85","11,225.25","7.24M","1.25%"
"Jul 26, 2018","11,167.30","11,149.30","11,181.00","11,126.55","12.46M","0.28%"
"Jul 25, 2018","11,136.40","11,158.00","11,170.00","11,118.85","9.13M","-0.05%"
"Jul 24, 2018","11,142.00","11,109.00","11,152.05","11,098.20","10.55M","0.38%"
"Jul 23, 2018","11,099.40","11,022.00","11,109.00","11,008.60","7.40M","0.68%"
"Jul 20, 2018","11,024.85","10,965.50","11,043.10","10,956.40","7.33M","0.47%"
"Jul 19, 2018","10,973.55","11,002.15","11,010.00","10,942.20","7.93M","-0.05%"
"Jul 18, 2018","10,978.60","11,055.15","11,073.75","10,955.00","10.16M","-0.41%"
"Jul 17, 2018","11,023.75","10,947.05","11,035.40","10,938.00","8.88M","0.73%"
"Jul 16, 2018","10,944.25","11,020.05","11,020.10","10,931.95","7.48M","-0.69%"
"Jul 13, 2018","11,020.00","11,048.00","11,056.30","10,993.25","8.10M","0.03%"
"Jul 12, 2018","11,016.25","10,981.00","11,069.00","10,976.00","9.57M","0.71%"
"Jul 11, 2018","10,938.60","10,936.90","10,967.00","10,918.00","7.70M","-0.08%"
"Jul 10, 2018","10,947.85","10,886.65","10,959.20","10,881.50","7.79M","0.81%"
"Jul 09, 2018","10,859.85","10,812.25","10,866.00","10,801.25","6.24M","0.76%"
"Jul 06, 2018","10,778.40","10,728.00","10,816.70","10,718.25","7.92M","0.25%"
"Jul 05, 2018","10,751.75","10,759.95","10,791.00","10,731.20","6.49M","-0.18%"
"Jul 04, 2018","10,771.35","10,716.10","10,776.90","10,671.00","8.21M","0.44%"
"Jul 03, 2018","10,723.95","10,645.00","10,733.10","10,630.40","8.84M","0.62%"
"Jul 02, 2018","10,658.25","10,698.75","10,705.00","10,595.00","9.22M","-0.34%"
"Jun 29, 2018","10,694.80","10,591.05","10,706.75","10,591.05","10.24M","1.00%"
"Jun 28, 2018","10,589.10","10,660.00","10,677.55","10,556.95","15.89M","-0.79%"
"Jun 27, 2018","10,673.45","10,811.85","10,811.85","10,651.50","13.63M","-0.87%"
"Jun 26, 2018","10,766.90","10,733.95","10,806.65","10,726.40","11.59M","0.09%"
"Jun 25, 2018","10,757.65","10,784.95","10,819.90","10,746.55","10.53M","-0.70%"
"Jun 22, 2018","10,833.95","10,730.05","10,849.00","10,712.10","9.37M","0.90%"
"Jun 21, 2018","10,737.15","10,799.80","10,805.95","10,716.65","7.60M","-0.50%"
"Jun 20, 2018","10,790.65","10,725.20","10,796.90","10,725.20","8.33M","0.66%"
"Jun 19, 2018","10,719.85","10,760.00","10,760.00","10,704.55","9.23M","-0.65%"
