Date,OPEN_INT,PX_VOLUME
#NAME?,339658,137680
43346,338669,106979
43343,337135,126084
43342,149446,142105
43341,216045,138347
43340,291356,137986
43339,362260,114156
43336,393698,90217
43335,403564,87310
43333,402266,69066
43332,400140,69230
43329,394155,88459
43328,383201,97174
43326,379105,80902
43325,374047,103465
43322,377738,78788
43321,375556,62547
43320,367459,90061
43319,355716,71411
43318,351397,63141
43315,349560,92094
43314,339593,96919
43313,345088,100944
43312,333817,82181
43311,317189,83919
43308,303871,96478
43307,103216,166178
43306,189191,121688
43305,248989,140678
43304,299765,98673
43301,321319,97688
43300,318583,105793
43299,326916,135516
43298,333885,118443
43297,326228,99671
43294,336051,108030
43293,335506,127629
43292,324314,102602
43291,314418,103926
43290,301911,83138
43287,288245,105650
43286,283997,86549
43285,282373,109475
43284,270952,117896
43283,264130,122927
43280,263760,136575
43279,143392,211887
43278,222552,181753
43277,272445,154542
43276,305782,140381
43273,319249,124881
43272,328685,101327
43271,327632,111129
43270,329926,123033
43269,331770,76499
43266,328517,151411
43265,318215,101496
43264,327355,81285
43263,316409,97850
43262,309810,95392
43259,298128,112454
43258,291091,119797
43257,275171,134399
43256,272872,114801
43255,271297,128661
43252,259934,109917
43251,155895,157465
43250,215815,166128
43249,252808,143770
43248,278093,95794
43245,295167,140510
43244,301229,127346
43243,307764,135503
43242,307172,97654
43241,309471,113639
43238,320852,122668
43237,313686,96769
43236,314705,128180
43235,320526,184645
43234,327427,75630
43231,334416,107214
43230,320970,85580
43229,325107,81762
43228,319607,85211
43227,318112,74407
43224,314857,88477
43223,316269,97986
43222,316312,88831
43220,317268,66057
43217,311513,109341
43216,117652,171470
43215,222208,159884
43214,282367,131555
43213,328947,124356
43210,351912,106390
43209,353616,75007
43208,353009,117774
43207,348068,97515
43206,342531,104621
43203,339457,116924
43202,330103,115129
43201,315882,107388
43200,301223,103777
43199,298575,103791
43196,293231,101542
43195,285236,161067
43194,293892,204248
43193,260734,122959
43192,255299,116332
43187,127178,185310
43186,178056,172547
43185,223901,235039
43182,295998,196128
43181,304727,167097
43180,305740,173630
43179,308152,169571
43178,307090,189024
43175,317101,212317
43174,305272,111358
43173,296304,150514
43172,295346,193274
43171,301211,187584
43168,304542,149319
43167,307084,184511
43166,316942,198900
43165,323675,186130
43164,307999,163559
43160,298672,128141
43159,283887,146723
43158,281726,123438
43157,269765,98361
43154,261988,157193
43153,154655,204434
43152,228407,157039
43151,271009,183616
43150,289609,218292
43147,307254,184944
43146,307135,179299
43145,312658,130989
43143,314838,134039
43140,298522,212253
43139,278182,204765
43138,288784,190750
43137,289188,410886
43136,292041,178159
43133,304647,240940
43132,318180,373298
43131,328840,124270
43130,343733,107569
43129,341204,107167
43125,176887,250289
43124,288706,156044
43123,331909,179759
43122,371082,138891
43119,409104,127613
43118,409950,151174
43117,409899,136928
43116,399861,122028
43115,396744,109996
43112,383158,146061
43111,380304,97612
43110,379611,94102
43109,367145,88149
43108,350902,76784
43105,337024,92019
43104,318822,91188
43103,313528,122198
43102,302942,124085
43101,300869,102018
43098,310202,107073
43097,111540,218652
43096,179756,155506
43095,240327,97197
43091,236402,114189
43090,242149,91812
43089,257302,111456
43088,260585,102962
43087,259566,313772
43084,263182,137094
43083,279155,149838
43082,286063,164959
43081,284956,86381
43080,282228,82750
43077,278224,115116
43076,271235,135736
43075,272756,131173
43074,259835,130324
43073,245254,113136
43070,236676,161800
43069,137971,184822
43068,187640,98968
43067,213855,93776
43066,235080,110277
43063,265267,93585
43062,282448,100288
43061,289789,84060
43060,295540,87712
43059,308310,65964
43056,307420,121489
43055,310558,117205
43054,322834,123310
43053,330957,109864
43052,347035,103715
43049,343093,125213
43048,329559,118648
43047,328740,111446
43046,329596,179412
43045,348273,84536
43042,346061,73176
43041,338524,67168
43040,324315,93341
43039,316562,61583
43038,313083,57333
43035,306060,77006
43034,115890,206312
43033,232950,161357
43032,279733,146990
43031,325302,153030
43027,348365,45171
43026,352930,81808
43025,357322,68350
43024,356703,120722
43021,355473,133120
43020,351463,115831
43019,336906,129457
43018,323084,59681
43017,315386,67207
43014,311451,99044
43013,311561,84589
43012,299035,121377
43011,283255,89203
43007,273454,134714
43006,118040,199784
43005,189700,196190
43004,235161,126602
43003,260657,171495
43000,272955,163490
42999,275372,118162
42998,278495,52238
42997,273436,60582
42996,272826,73440
42993,279291,119934
42992,277901,80249
42991,273630,94799
42990,265848,89824
42989,263615,90944
42986,259165,79511
42985,255474,65527
42984,253664,88389
42983,242188,92314
42982,232783,131660
42979,225502,88747
42978,158681,182737
42977,225203,124536
42976,265134,159499
42975,303222,105188
42971,321127,67927
42970,323711,106912
42969,334681,139197
42968,340977,123699
42965,333903,133438
42964,333192,112740
42963,314526,145494
42961,304386,91112
42958,310801,173868
42957,300426,141549
42956,310240,118624
42955,306381,148356
42954,289382,50737
42951,286148,104921
42950,290120,88306
42949,280897,84710
42948,269599,59887
42947,267050,68518
42944,258768,138647
42943,106032,219471
42942,164562,126068
42941,193887,102677
42940,222641,111442
42937,240154,130311
42936,242723,87052
42935,245982,93349
42934,252423,146263
42933,277938,76742
42930,285741,75641
42929,289378,88357
42928,278084,91556
42927,272501,88141
42926,267834,104771
42923,271307,70717
42922,270535,98950
42921,271230,64625
42920,268982,100002
42919,263574,129840
42916,260980,120548
42915,100505,220951
42914,139191,136145
42913,176918,210316
42909,259700,116346
42908,271568,120638
42907,279941,76942
42906,280963,47126
42905,281542,95051
42902,282815,78625
42901,287854,80763
42900,285687,78573
42899,290218,68823
42898,290676,101912
42895,293213,103553
42894,295729,60355
42893,293729,79430
42892,287768,74042
42891,294942,75158
42888,295325,74161
42887,295938,70094
42886,291627,88163
42885,277317,82581
42884,273286,144402
42881,252815,122805
42880,93453,201508
42879,155497,210649
42878,204114,179973
42877,237564,113056
42874,254790,164078
42873,267281,134391
42872,296573,73353
42871,289864,107373
42870,281478,52787
42867,274861,91721
42866,281816,71500
42865,275538,111474
42864,258285,70846
42863,253873,75939
42860,250830,123084
42859,262417,90338
42858,260210,69777
42857,257213,114045
42853,257244,98148
42852,141273,174725
42851,210327,178016
42850,223641,173277
42849,221527,171698
42846,248653,133239
42845,260452,85729
42844,265665,95969
42843,266615,167744
42842,270539,67414
42838,272023,88323
42837,279022,149706
42836,280269,105610
42835,275841,89731
42832,280411,105144
42831,284640,103953
42830,293857,91210
42828,298205,104916
42825,305944,96750
42824,166482,156367
42823,217555,141173
42822,261828,136796
42821,285096,171644
42818,343781,93896
42817,349609,97203
42816,349146,142176
42815,344838,100487
42814,340945,73494
42811,331857,111152
42810,347285,99303
42809,337109,73550
42808,335904,190327
42804,311325,115008
42803,303372,93016
42802,295528,118774
42801,291299,59040
42800,288268,92519
42797,287147,110827
42796,294957,146853
42795,299448,113075
42794,284189,88565
42793,284859,94201
42789,109467,185747
42788,179215,155133
42787,216966,174589
42786,289262,115075
42783,323382,137805
42782,328267,103632
42781,334547,171595
42780,311346,89528
42779,297577,118500
42776,289139,87575
42775,290146,155576
42774,290243,116252
42773,287579,85012
42772,291391,110169
42769,286480,90734
42768,288784,137422
42767,278143,256338
42766,259295,151198
42765,265866,91222
42762,258526,124832
42760,93844,190937
42759,143774,178727
42758,206426,155352
42755,239861,142458
42754,269317,79581
42753,274147,117493
42752,262468,97186
42751,268515,81879
42748,265554,99975
42747,275284,108255
42746,258078,115758
42745,249466,79420
42744,249437,62644
42741,249697,111583
42740,250317,143845
42739,233723,90638
42738,229731,113527
42737,227082,111530
42734,228094,114999
42733,98640,154135
42732,140770,180872
42731,177088,178213
42730,192165,129296
42727,181407,139593
42726,171968,146045
42725,190323,77520
42724,192079,104439
42723,194275,63952
42720,198332,107524
42719,207792,188405
42718,221082,100519
42717,226139,96307
42716,220039,116984
42713,228683,91161
42712,224870,145413
42711,211100,142128
42710,206663,99946
42709,206945,125464
42706,209783,160118
42705,214695,105795
42704,208002,141525
42703,201226,134021
42702,196701,120167
42699,188635,162248
42698,124199,218779
42697,170033,189589
42696,203478,191046
42695,222069,223161
42692,232786,152215
42691,250603,166024
42690,251931,195753
42689,260448,254311
42685,233551,247448
42684,226977,185038
42683,222399,457804
42682,213637,116708
42681,214401,112007
42678,229963,166025
42677,227232,120281
42676,229535,136032
42675,231595,108683
42673,236770,24342
42671,236428,131406
42670,107793,195890
42669,164992,166876
42668,187051,154822
42667,221307,114831
42664,243042,105091
42663,248245,120834
42662,239641,104460
42661,245651,160630
42660,250122,145581
42657,256613,120818
42656,264042,193034
42653,283201,70929
42650,285551,119128
42649,294514,136378
42648,297285,110104
42647,295940,143540
42646,293234,162104
42643,304416,182025
42642,172259,308550
42641,230284,145082
42640,274611,187869
42639,333225,211371
42636,417882,95560
42635,429730,144079
42634,432327,128146
42633,430576,88745
42632,432228,83130
42629,428375,180007
42628,427296,100678
42627,434990,114940
42625,437427,185188
42622,445808,141330
42621,457973,93049
42620,453392,102380
42619,451941,107095
42615,442223,95337
42614,448335,109257
42613,440318,163435
42612,406019,176782
42611,370169,140642
42608,363989,130050
42607,69603,194304
42606,123931,154128
42605,164685,229896
42604,242180,197137
42601,309485,93335
42600,317948,129887
42599,327747,126929
42598,331168,140465
42594,328452,140132
42593,340128,133499
42592,340892,158553
42591,328559,121323
42590,328949,89213
42587,319538,144047
42586,316250,143202
42585,320091,169582
42584,304156,122088
42583,300343,161712
42580,295682,107539
42579,181879,158883
42578,235483,207432
42577,272261,182837
42576,285726,180035
42573,310172,120624
42572,308371,122537
42571,313607,95196
42570,305321,150283
42569,298396,125612
42566,300259,147492
42565,294146,105038
42564,285820,103989
42563,283424,109220
42562,265916,149095
42559,243535,131519
42558,248887,101433
42556,252364,111772
42555,254384,107343
42552,250054,122603
42551,74820,222297
42550,109290,155306
42549,143400,166179
42548,161580,198257
42545,179147,425112
42544,211842,144451
42543,207476,140721
42542,225256,101659
42541,233043,200754
42538,227484,152210
42537,227450,236177
42536,247621,155032
42535,254818,160367
42534,276721,173539
42531,286434,206860
42530,286714,139553
42529,286640,85867
42528,288748,152776
42527,279891,87388
42524,282570,111882
42523,286928,138830
42522,286658,125472
42521,288402,144169
42520,289278,115182
42517,279172,182486
42516,101429,208309
42515,153414,254189
42514,182229,151066
42513,194933,192597
42510,208346,162319
42509,219992,193420
42508,214556,196154
42507,221387,153461
42506,215985,186817
42503,217152,211856
42502,227253,172530
42501,222938,244803
42500,246446,143307
42499,242913,202463
42496,234782,145857
42495,243372,186202
42494,255892,163238
