Date,PX_LAST,PX_VOLUME
#NAME?,11573.1,137680
43346,11641.75,106979
43343,11735.3,126084
43342,11676.8,142105
43341,11707.1,138347
43340,11752.45,137986
43339,11705.35,114156
43336,11571.6,90217
43335,11595.4,87310
43333,11586.55,69066
43332,11578.95,69230
43329,11488.45,88459
43328,11410.9,97174
43326,11463.45,80902
43325,11381.15,103465
43322,11439.25,78788
43321,11487.55,62547
43320,11467.65,90061
43319,11418.35,71411
43318,11414.25,63141
43315,11395.75,92094
43314,11282.3,96919
43313,11374.3,100944
43312,11371.6,82181
43311,11338.5,83919
43308,11306.7,96478
43307,11167.3,166178
43306,11136.4,121688
43305,11142,140678
43304,11099.4,98673
43301,11024.85,97688
43300,10973.55,105793
43299,10978.6,135516
43298,11023.75,118443
43297,10944.25,99671
43294,11020,108030
43293,11016.25,127629
43292,10938.6,102602
43291,10947.85,103926
43290,10859.85,83138
43287,10778.4,105650
43286,10751.75,86549
43285,10771.35,109475
43284,10723.95,117896
43283,10658.25,122927
43280,10694.8,136575
43279,10589.1,211887
43278,10673.45,181753
43277,10766.9,154542
43276,10757.65,140381
43273,10833.95,124881
43272,10737.15,101327
43271,10790.65,111129
43270,10719.85,123033
43269,10789.6,76499
43266,10814.65,151411
43265,10813.9,101496
43264,10844.85,81285
43263,10839.05,97850
43262,10785.8,95392
43259,10748.1,112454
43258,10765.2,119797
43257,10686.25,134399
43256,10596.45,114801
43255,10598.7,128661
43252,10683.9,109917
43251,10736.15,157465
43250,10604.5,166128
43249,10615.55,143770
43248,10678.85,95794
43245,10602.4,140510
43244,10505.2,127346
43243,10426.6,135503
43242,10552.85,97654
43241,10538.75,113639
43238,10597.05,122668
43237,10696.2,96769
43236,10761.25,128180
43235,10818.6,184645
43234,10814.7,75630
43231,10820.1,107214
43230,10724.9,85580
43229,10769.3,81762
43228,10735.05,85211
43227,10739.85,74407
43224,10658.75,88477
43223,10706.5,97986
43222,10739.4,88831
43220,10780.3,66057
43217,10723.8,109341
43216,10617.8,171470
43215,10569.05,159884
43214,10617.9,131555
43213,10585.45,124356
43210,10585.5,106390
43209,10578.1,75007
43208,10538.85,117774
43207,10551.2,97515
43206,10542.9,104621
