Date,PX_LAST,PX_VOLUME
#NAME?,11520.3,262701024
43346,11582.35,241726864
43343,11680.5,357230304
43342,11676.8,323450304
43341,11691.9,259351552
43340,11738.5,249420320
43339,11691.95,205689328
43336,11557.1,225604576
43335,11582.75,256163840
43333,11570.9,231063664
43332,11551.75,239843360
43329,11470.75,241985504
43328,11385.05,299610304
43326,11435.1,239841680
43325,11355.75,254466752
43322,11429.5,336424192
43321,11470.7,311521408
43320,11450,217047648
43319,11389.45,233409616
43318,11387.1,210002576
43315,11360.8,225146368
43314,11244.7,216533120
43313,11346.2,278012704
43312,11356.5,264430896
43311,11319.55,287435936
43308,11278.35,324343456
43307,11167.3,376657408
43306,11132,212333168
43305,11134.3,212247392
43304,11084.75,236153088
43301,11010.2,193144112
43300,10957.1,222056400
43299,10980.45,232502464
43298,11008.05,217107584
43297,10936.85,216971408
43294,11018.9,241670816
43293,11023.2,256034816
43292,10948.3,229212000
43291,10947.25,203061984
43290,10852.9,189331008
43287,10772.65,256547712
43286,10749.75,227267168
43285,10769.9,179268272
43284,10699.9,208371552
43283,10657.3,304536672
43280,10714.3,250327872
43279,10589.1,363157312
43278,10671.4,253620800
43277,10769.15,226846384
43276,10762.45,236693280
43273,10821.85,236898416
43272,10741.1,230507376
43271,10772.05,199467088
43270,10710.45,231382784
43269,10799.85,202727200
43266,10817.7,314764416
43265,10808.05,190031664
43264,10856.7,220003040
43263,10842.85,204419184
43262,10786.95,217849904
43259,10767.65,215942528
43258,10768.35,227663152
43257,10684.65,195761424
43256,10593.15,172898032
43255,10628.5,210148320
43252,10696.2,227355568
43251,10736.15,629198592
43250,10614.35,246124256
43249,10633.3,232761568
43248,10688.65,239786000
43245,10605.15,268914880
43244,10513.85,306792512
43243,10430.35,299919104
43242,10536.7,249236640
43241,10516.7,197294176
43238,10596.4,229908944
43237,10682.7,220738928
43236,10741.1,238221888
43235,10801.85,262202304
43234,10806.6,176697504
43231,10806.5,209392112
43230,10716.55,197988480
43229,10741.7,222115648
43228,10717.8,278118624
43227,10715.5,173620240
43224,10618.25,192296048
43223,10679.65,190869808
43222,10718.05,236757168
43220,10739.35,179163472
43217,10692.3,306671168
43216,10617.8,345536160
