Dates,PX_LAST
27-08-2009,721
40053,691
40056,681
40057,394
40058,446
40059,618
40060,790
40063,1096
40064,535
40065,501
40066,433
40067,416
40070,608
40071,909
40072,725
40073,533
40074,667
40078,718
40079,336
40080,663
40081,750
40085,767
40086,743
40087,447
40091,221
40092,413
40093,672
40094,572
40095,370
40098,820
40100,819
40101,653
40102,690
40106,544
40107,490
40108,264
40109,664
40112,381
40113,100
40114,471
40115,304
40116,504
40120,152
40121,953
40122,935
40123,1021
40126,1020
40127,554
40128,912
40129,481
40130,635
40133,877
40134,597
40135,726
40136,352
40137,729
40140,755
40141,597
40142,542
40143,310
40144,209
40147,1056
40148,1057
40149,687
40150,744
40151,587
40154,488
40155,922
40156,617
40157,768
40158,407
40161,412
40162,255
40163,638
40164,785
40165,415
40168,500
40169,816
40170,952
40171,722
40176,852
40177,794
40178,708
40182,1011
40183,822
40184,665
40185,709
40186,729
40189,991
40190,386
40191,772
40192,900
40193,618
40196,684
40197,415
40198,498
40199,148
40200,297
40203,414
40205,52
40206,516
40207,744
40210,1080
40211,396
40212,921
40213,240
40214,112
40217,589
40218,711
40219,571
40220,823
40224,438
40225,748
40226,852
40227,435
40228,256
40231,339
40232,335
40233,384
40234,530
40235,977
40239,1063
40240,1014
40241,795
40242,791
40245,837
40246,385
40247,504
40248,438
40249,445
40252,360
40253,924
40254,596
40255,595
40256,654
40259,366
40260,638
40262,575
40263,579
40266,463
40267,812
40268,730
40269,1094
40273,1110
40274,766
40275,773
40276,465
40277,906
40280,658
40281,568
40283,487
40284,465
40287,263
40288,1071
40289,940
40290,626
40291,614
40294,709
40295,516
40296,202
40297,934
40298,802
40301,434
40302,228
40303,469
40304,604
40305,145
40308,1179
40309,398
40310,526
40311,844
40312,269
40315,395
40316,745
40317,173
40318,495
40319,297
40322,828
40323,128
40324,1000
40325,810
40326,1018
40329,762
40330,361
40331,853
40332,998
40333,640
40336,271
40337,450
40338,724
40339,981
40340,719
40343,965
40344,822
40345,699
40346,722
40347,408
40350,979
40351,550
40352,864
40353,727
40354,466
40357,943
40358,408
40359,795
40360,592
40361,644
40364,701
40365,818
40366,541
40367,861
40368,802
40371,752
40372,780
40373,559
40374,587
40375,758
40378,647
40379,532
40380,752
40381,701
40382,476
40385,398
40386,612
40387,478
40388,623
40389,583
40392,861
40393,717
40394,708
40395,656
40396,646
40399,970
40400,511
40401,494
40402,570
40403,751
40406,500
40407,656
40408,822
40409,859
40410,608
40413,842
40414,447
40415,277
40416,577
40417,316
40420,563
40421,372
40422,1150
40423,911
40424,839
40427,1065
40428,782
40429,748
40430,719
40434,724
40435,404
40436,545
40437,379
40438,962
40441,845
40442,301
40443,444
40444,587
40445,964
40448,646
40449,569
40450,419
40451,554
40452,1047
40455,634
40456,786
40457,887
40458,473
40459,450
40462,937
40463,480
40464,986
40465,454
40466,322
40469,497
40470,658
40471,464
40472,1001
40473,635
40476,858
40477,574
40478,488
40479,500
40480,360
40483,957
40484,676
40485,833
40486,788
40490,638
40491,835
40492,826
40493,463
40494,211
40497,528
40498,150
40500,426
40501,215
40504,983
40505,274
40506,513
40507,246
40508,162
40511,735
40512,1076
40513,1271
40514,952
40515,229
40518,571
40519,336
40520,158
40521,71
40522,1103
40525,105
40526,1071
40527,340
40528,780
40532,734
40533,939
40534,761
40535,596
40536,804
40539,688
40540,686
40541,938
40542,811
40543,1041
40546,1087
40547,650
40548,319
40549,355
40550,128
40553,173
40554,458
40555,1032
40556,459
40557,314
40560,322
40561,771
40562,679
40563,682
40564,751
40567,826
40568,495
40570,359
40571,147
40574,477
40575,376
40576,730
40577,985
40578,327
40581,474
40582,174
40583,140
40584,511
40585,1192
40588,1337
40589,774
40590,865
40591,921
40592,271
40595,626
40596,462
40597,505
40598,159
40599,587
40602,804
40603,1205
40605,653
40606,666
40609,322
40610,947
40611,862
40612,566
40613,363
40616,794
40617,248
40618,1013
40619,504
40620,445
40623,529
40624,868
40625,856
40626,858
40627,976
40630,681
40631,554
40632,1149
40633,662
40634,1163
40637,1272
40638,1004
40639,887
40640,984
40641,353
40644,460
40646,1084
40648,534
40651,389
40652,665
40653,1064
40654,649
40658,615
40659,604
40660,578
40661,449
40662,364
40665,439
40666,205
40667,459
40668,343
40669,910
40672,601
40673,660
40674,829
40675,406
40676,884
40679,422
40680,441
40681,424
40682,479
40683,848
40686,267
40687,655
40688,499
40689,763
40690,988
40693,869
40694,1029
40695,936
40696,451
40697,595
40700,578
40701,834
40702,641
40703,620
40704,502
40707,671
40708,802
40709,481
40710,422
40711,377
40714,149
40715,582
40716,428
40717,572
40718,1182
40721,897
40722,777
40723,959
40724,787
40725,870
40728,972
40729,717
40730,725
40731,1010
40732,457
40735,543
40736,373
40737,1050
40738,854
40739,622
40742,766
40743,900
40744,485
40745,503
40746,930
40749,849
40750,376
40751,596
40752,373
40753,498
40756,582
40757,323
40758,519
40759,478
40760,177
40763,261
40764,344
40765,1238
40766,645
40767,577
40771,327
40772,388
40773,233
40774,353
40777,1042
40778,1027
40779,616
40780,492
40781,213
40784,1270
40785,1077
40788,894
40791,751
40792,894
40793,1120
40794,894
40795,521
40798,300
40799,738
40800,825
40801,834
40802,648
40805,659
40806,1006
40807,846
40808,131
40809,432
40812,321
40813,1156
40814,438
40815,641
40816,494
40819,343
40820,444
40821,507
40823,1075
40826,968
40827,848
40828,1032
40829,720
40830,754
40833,691
40834,367
40835,972
40836,510
40837,520
40840,639
40841,677
40842,1200
40844,996
40847,767
40848,501
40849,702
40850,680
40851,880
40855,673
40856,364
40858,379
40861,340
40862,190
40863,410
40864,402
40865,410
40868,356
40869,760
40870,310
40871,823
40872,824
40875,1138
40876,581
40877,536
40878,961
40879,1022
40882,690
40884,778
40885,333
40886,435
40889,311
40890,540
40891,464
40892,385
40893,314
40896,265
40897,382
40898,964
40899,880
40900,807
40903,972
40904,588
40905,458
40906,519
40907,705
40910,767
40911,1237
40912,791
40913,797
40914,707
40917,950
40918,1252
40919,1030
40920,740
40921,1048
40924,685
40925,1048
40926,433
40927,1018
40928,637
40931,727
40932,907
40933,983
40935,981
40938,415
40939,1047
40940,1060
40941,825
40942,900
40945,1003
40946,551
40947,952
40948,1014
40949,668
40952,776
40953,829
40954,1064
40955,855
40956,693
40960,904
40961,242
40962,476
40963,482
40966,201
40967,1263
40968,867
40969,583
40970,725
40973,427
40974,420
40975,501
40977,1092
40980,883
40981,974
40982,669
40983,392
40984,449
40987,434
40988,695
40989,1043
40990,303
40991,783
40994,345
40995,612
40996,366
40997,835
40998,1163
41001,1105
41002,1028
41003,702
41008,493
41009,665
41010,568
41011,965
41012,529
41015,841
41016,889
41017,858
41018,745
41019,522
41022,342
41023,658
41024,465
41025,555
41026,573
41029,852
41031,660
41032,429
41033,259
41036,759
41037,456
41038,404
41039,616
41040,445
41043,455
41044,789
41045,388
41046,736
41047,622
41050,943
41051,534
41052,507
41053,914
41054,844
41057,973
41058,754
41059,425
41060,639
41061,376
41064,621
41065,784
41066,1168
41067,848
41068,690
41071,769
41072,772
41073,708
41074,429
41075,823
41078,420
41079,709
41080,915
41081,935
41082,681
41085,775
41086,698
41087,810
41088,758
41089,1117
41092,991
41093,913
41094,956
41095,1102
41096,597
41099,442
41100,974
41101,546
41102,460
41103,676
41106,542
41107,429
41108,745
41109,799
41110,514
41113,360
41114,698
41115,481
41116,311
41117,492
41120,981
41121,760
41122,966
41123,813
41124,598
41127,926
41128,822
41129,602
41130,492
41131,580
41134,810
41135,761
41137,666
41138,681
41142,815
41143,676
41144,663
41145,491
41148,444
41149,352
41150,457
41151,739
41152,634
41155,807
41156,846
41157,594
41158,762
41159,1037
41162,802
41163,813
41164,864
41165,597
41166,806
41169,896
41170,922
41172,515
41173,1057
41176,904
41177,777
41178,732
41179,753
41180,925
41183,969
41185,934
41186,928
41187,450
41190,664
41191,833
41192,395
41193,922
41194,655
41197,764
41198,537
41199,659
41200,989
41201,577
41204,705
41205,603
41207,603
41208,458
41211,561
41212,425
41213,825
41214,948
41215,886
41218,672
41219,791
41220,927
41221,662
41222,486
41225,684
41226,1011
41228,542
41229,483
41232,450
41233,430
41234,769
41235,786
41236,647
41239,869
41240,1002
41242,891
41243,939
41246,938
41247,827
41248,893
41249,841
41250,678
41253,758
41254,476
41255,639
41256,444
41257,720
41260,823
41261,870
41262,869
41263,600
41264,358
41267,736
41269,819
41270,525
41271,786
41274,859
41275,1102
41276,958
41277,899
41278,758
41281,841
41282,669
41283,600
41284,500
41285,361
41288,910
41289,749
41290,328
41291,681
41292,592
41295,690
41296,424
41297,420
41298,270
41299,926
41302,796
41303,529
41304,574
41305,679
41306,634
41309,525
41310,433
41311,761
41312,438
41313,436
41316,617
41317,556
41318,585
41319,333
41320,595
41323,906
41324,1010
41325,787
41326,316
41327,740
41330,423
41331,265
41332,824
41333,345
41334,687
41337,360
41338,999
41339,1034
41340,810
41341,980
41344,733
41345,554
41346,395
41347,725
41348,506
41351,503
41352,336
41353,271
41354,406
41355,459
41358,556
41359,656
41361,909
41365,1145
41366,1141
41367,646
41368,359
41369,726
41372,547
41373,416
41374,682
41375,711
41376,550
41379,720
41380,844
41381,676
41382,818
41386,871
41387,678
41389,743
41390,529
41393,753
41394,628
41396,806
41397,524
41400,819
41401,836
41402,694
41403,579
41404,684
41408,651
41409,909
41410,674
41411,630
41414,582
41415,478
41416,440
41417,226
41418,732
41421,849
41422,716
41423,514
41424,565
41425,350
41428,561
41429,662
41430,652
41431,637
41432,572
41435,433
41436,286
41437,531
41438,349
41439,937
41442,711
41443,673
41444,724
41445,241
41446,471
41449,246
41450,539
41451,479
41452,720
41453,1011
41456,1041
41457,632
41458,342
41459,732
41460,688
41463,515
41464,817
41465,559
41466,846
41467,596
41470,790
41471,399
41472,513
41473,701
41474,506
41477,569
41478,659
41479,307
41480,420
41481,400
41484,396
41485,295
41486,439
41487,396
41488,374
41491,615
41492,282
41493,776
41494,888
41498,921
41499,871
41500,733
41502,247
41505,395
41506,660
41507,427
41508,762
41509,805
41512,758
41513,267
41514,417
41515,782
41516,672
41519,896
41520,344
41521,841
41522,922
41523,768
41527,956
41528,861
41529,639
41530,808
41533,532
41534,567
41535,683
41536,911
41537,432
41540,479
41541,590
41542,554
41543,685
41544,596
41547,470
41548,755
41550,860
41551,639
41554,731
41555,707
41556,873
41557,765
41558,716
41561,698
41562,453
41564,643
41565,806
41568,859
41569,894
41570,652
41571,591
41572,492
41575,494
41576,757
41577,713
41578,737
41579,878
41583,743
41584,713
41585,504
41586,552
41589,473
41590,461
41591,463
41592,862
41596,862
41597,694
41598,647
41599,417
41600,603
41603,864
41604,505
41605,577
41606,797
41607,895
41610,872
41611,668
41612,585
41613,683
41614,728
41617,668
41618,434
41619,545
41620,483
41621,334
41624,557
41625,608
41626,896
41627,593
41628,933
41631,902
41632,834
41634,936
41635,767
41638,696
41639,825
41640,957
