Date,INDX_ADV_NUM,INDX_DECL_NUM
#NAME?,27,23
43368,34,16
43367,7,43
43364,23,27
43362,26,24
43361,10,40
43360,14,36
43357,46,4
43355,31,19
43354,6,44
43353,9,41
43350,33,16
43349,33,17
43348,24,26
43347,9,41
43346,19,31
43343,30,19
43342,23,27
43341,21,29
43340,21,29
43339,47,3
43336,22,28
43335,23,27
43333,24,26
43332,32,18
43329,36,14
43328,20,30
43326,33,17
43325,19,31
43322,22,28
43321,22,28
43320,36,14
43319,22,28
43318,24,26
43315,36,14
43314,17,33
43313,27,23
43312,30,20
43311,26,24
43308,35,15
43307,25,25
43306,22,28
43305,32,18
43304,36,14
43301,31,19
43300,23,27
43299,24,26
43298,37,13
43297,12,38
43294,23,27
43293,26,24
43292,18,32
43291,33,17
43290,38,12
43287,27,23
43286,24,26
43285,26,24
43284,33,17
43283,17,33
43280,40,10
43279,15,35
43278,9,41
43277,31,19
43276,15,35
43273,36,14
43272,15,35
43271,33,17
43270,9,41
43269,21,29
43266,19,31
43265,18,32
43264,28,22
43263,29,21
43262,32,18
43259,24,26
43258,38,11
43257,40,10
43256,15,35
43255,15,35
43252,16,34
43251,30,20
43250,17,33
43249,18,32
43248,35,15
43245,42,8
43244,35,15
43243,14,36
43242,30,20
43241,12,38
43238,14,36
43237,14,35
43236,17,32
43235,23,27
43234,24,26
43231,38,12
43230,16,34
43229,24,26
43228,23,27
43227,36,14
43224,13,36
43223,18,32
43222,16,34
43220,35,15
43217,35,15
43216,27,23
43215,17,33
43214,27,23
43213,29,21
43210,16,34
43209,26,24
43208,21,29
43207,24,26
43206,33,17
43203,26,24
43202,26,24
43201,27,23
43200,28,22
43199,27,23
43196,27,23
43195,48,2
43194,7,43
43193,31,19
43192,39,11
43187,17,33
43186,39,11
43185,39,11
43182,12,38
43181,15,35
43180,22,28
43179,32,18
43178,11,39
43175,6,44
43174,15,35
43173,19,31
43172,30,20
43171,47,3
43168,23,27
43167,28,22
43166,13,37
43165,15,35
43164,8,42
43160,23,27
43159,19,31
43158,21,29
43157,38,12
43154,43,7
43153,17,33
43152,28,22
43151,27,23
43150,10,40
43147,9,41
43146,27,23
43145,18,31
43143,36,14
43140,10,39
43139,40,10
43138,27,23
43137,5,45
43136,19,31
43133,5,45
43132,25,25
43131,20,30
43130,12,38
43129,29,21
43125,21,29
43124,28,22
43123,38,12
43122,25,25
43119,39,11
43118,18,32
43117,34,16
43116,18,32
43115,20,30
43112,24,26
43111,23,26
43110,18,32
43109,20,30
43108,38,12
43105,35,15
43104,37,13
43103,27,23
43102,22,28
43101,8,42
43098,33,17
43097,19,31
43096,13,37
43095,39,11
43091,33,17
43090,21,28
43089,22,28
43088,38,12
43087,36,14
43084,35,15
43083,39,11
43082,14,36
43081,13,37
43080,32,18
43077,39,11
43076,43,7
43075,9,40
43074,17,33
43073,26,24
43070,6,44
43069,6,44
43068,24,25
43067,22,28
43066,24,26
43063,30,18
43062,18,31
43061,24,26
43060,28,21
43059,29,21
43056,31,19
43055,37,13
43054,13,37
43053,19,31
43052,11,39
43049,22,28
43048,25,25
43047,24,26
43046,12,38
43045,21,29
43042,21,29
43041,22,28
43040,30,20
43039,18,32
43038,30,20
43035,28,22
43034,32,18
43033,26,24
43032,27,23
43031,25,25
43027,6,44
43026,17,33
43025,23,27
43024,35,15
43021,34,16
43020,40,10
43019,15,35
43018,32,18
43017,29,21
43014,44,6
43013,22,28
43012,33,17
43011,40,10
43007,33,17
43006,28,23
43005,7,44
43004,26,25
43003,13,38
43000,3,48
42999,18,32
42998,19,31
42997,23,28
42996,41,9
42993,18,33
42992,23,28
42991,19,32
42990,43,8
42989,33,18
42986,18,33
42985,30,20
