Dates,PX_LAST,PX_VOLUME
1/8/2008,125.1,277311
39664,121.41,294048
39665,119.17,316589
39666,118.58,307994
39667,120.02,304204
39668,115.2,297330
39671,114.45,295334
39672,113.01,303791
39673,116,322967
39674,115.01,268197
39675,113.77,276806
39678,112.87,178631
39679,114.53,149293
39680,114.98,36838
39681,121.18,308114
39682,114.59,276216
39685,115.11,174446
39686,116.27,311866
39687,118.15,265812
39688,115.59,272322
39689,115.46,216481
39693,109.71,389706
39694,109.35,247584
39695,107.89,264187
39696,106.23,249111
39699,106.34,317923
39700,103.26,332463
39701,102.58,331516
39702,100.87,311505
39703,101.18,273124
39706,95.71,334900
39707,91.15,327157
39708,97.16,343691
39709,97.88,243360
39710,104.55,184766
39713,120.92,31934
39714,106.61,316025
39715,105.73,233417
39716,108.02,245163
39717,106.89,168454
39720,96.37,248522
39721,100.64,252741
39722,98.53,280295
39723,93.97,223270
39724,93.88,238984
39727,87.81,281987
39728,90.06,342917
39729,88.95,339344
39730,86.59,248211
39731,77.7,363996
39734,81.19,210714
39735,78.63,266143
39736,74.54,221136
39737,69.85,283094
39738,71.85,141907
39741,74.25,137299
39742,70.89,20923
39743,66.75,272317
39744,67.84,256890
39745,64.15,253812
39748,63.22,234150
39749,62.73,222083
39750,67.5,315415
39751,65.96,279196
39752,67.81,256881
39755,63.91,236426
39756,70.53,329187
39757,65.3,272470
39758,60.77,292018
39759,61.04,236045
39762,62.41,286648
39763,59.33,258306
39764,56.16,261423
39765,58.24,322685
39766,57.04,245858
39769,54.95,337536
39770,54.39,189689
39771,53.62,161384
39772,49.62,30294
39773,49.93,213647
39776,54.5,233065
39777,50.77,228413
39778,54.44,243440
39780,54.43,129155
39783,49.28,217048
39784,46.96,233248
39785,46.79,217573
39786,43.67,232447
39787,40.81,327140
39790,43.71,289529
39791,42.07,240867
39792,43.52,362393
39793,47.98,317267
39794,46.28,291629
39797,44.51,256308
39798,43.6,259901
39799,40.06,174258
39800,36.22,95999
39801,33.87,20370
39804,39.91,149135
39805,38.98,146203
39806,35.35,93376
39808,37.71,64554
39811,40.02,150601
39812,39.03,137263
39813,44.6,188601
39815,46.34,184679
39818,48.81,258762
39819,48.58,331307
39820,42.63,306262
39821,41.7,312485
39822,40.83,277431
39825,37.59,272828
39826,37.78,340615
39827,37.28,311078
39828,35.4,179925
39829,36.51,97975
39833,38.74,24165
39834,43.55,276261
39835,43.67,317569
39836,46.47,269756
39839,45.73,277496
39840,41.58,308439
39841,42.16,291416
39842,41.44,245854
39843,41.68,237726
39846,40.08,263645
39847,40.78,244615
39848,40.32,254203
39849,41.17,229734
39850,40.17,518382
39853,39.56,317497
39854,37.55,359674
39855,35.94,315650
39856,33.98,326176
39857,37.51,281710
39861,34.93,153708
39862,34.62,73864
39863,39.48,82550
39864,38.94,19661
39867,38.44,285905
39868,39.96,238188
39869,42.5,323428
39870,45.22,287202
39871,44.76,274579
39874,40.15,245234
39875,41.65,241538
39876,45.38,319761
39877,43.61,228192
39878,45.52,306347
39881,47.07,390590
39882,45.71,289157
39883,42.33,339876
39884,47.03,316566
39885,46.25,221028
39888,47.35,240078
39889,49.16,214930
39890,48.14,125337
39891,51.61,96379
39892,51.06,20427
39895,53.8,229890
39896,53.98,212790
39897,52.77,283727
39898,54.34,196916
39899,52.38,181165
39902,48.41,222171
39903,49.66,240254
39904,48.39,234224
39905,52.64,270270
39906,52.51,212172
39909,51.05,228983
39910,49.15,254031
39911,49.38,352611
39912,52.24,294835
39916,50.05,290456
39917,49.41,284710
39918,49.25,228056
39919,49.98,196957
39920,50.33,137021
39923,45.88,89895
39924,46.51,19858
39925,48.85,238729
39926,49.62,227296
39927,51.55,230865
39930,50.14,265293
39931,49.92,186823
39932,50.97,234826
39933,51.12,208296
39934,53.2,248750
39937,54.47,229782
39938,53.84,234306
39939,56.34,334302
39940,56.71,377826
39941,58.63,291819
39944,58.5,290030
39945,58.85,305957
39946,58.02,311802
39947,58.62,260456
39948,56.34,216089
39951,59.03,134714
39952,59.65,32614
39953,62.04,270022
39954,61.05,237412
39955,61.67,186302
39959,62.45,267127
39960,63.45,261888
39961,65.08,281439
39962,66.31,261370
39965,68.58,234080
39966,68.55,266861
39967,66.12,322365
39968,68.81,304674
39969,68.44,329259
39972,68.09,289278
39973,70.01,316884
39974,71.33,346248
39975,72.68,314790
39976,72.04,224601
39979,70.62,242211
39980,70.47,266350
39981,71.03,265584
39982,71.37,178851
39983,69.55,115712
39986,66.93,26203
39987,69.24,279901
39988,68.67,242855
39989,70.23,254942
39990,69.16,208025
39993,71.49,229882
39994,69.89,331550
39995,69.31,304636
39996,66.73,243250
40000,64.05,256986
40001,62.93,262358
40002,60.14,334958
40003,60.41,314800
40004,59.89,264745
40007,59.69,301907
40008,59.52,305947
40009,61.54,279729
40010,62.02,250043
40011,63.56,186315
40014,63.98,125148
40015,64.72,23951
40016,65.4,319989
40017,67.16,321627
40018,68.05,217270
40021,68.38,245180
40022,67.23,253558
40023,63.35,342411
40024,66.94,344216
40025,69.45,400836
40028,71.58,323455
40029,71.42,285877
40030,71.97,307551
40031,71.94,328670
40032,70.93,367023
40035,70.6,304092
40036,69.45,389079
40037,70.16,342269
40038,70.52,322969
40039,67.51,320144
40042,66.75,264790
40043,69.19,182990
40044,72.42,126682
40045,72.54,26648
40046,73.89,246228
40049,74.37,208702
40050,72.05,324399
40051,71.43,255501
40052,72.49,272730
40053,72.74,239217
40056,69.96,276967
40057,68.05,336835
40058,68.05,269497
40059,67.96,231967
40060,68.02,229782
40064,71.1,374237
40065,71.31,331984
40066,71.94,345551
40067,69.29,374693
40070,68.86,255720
40071,70.93,288040
40072,72.51,291946
40073,72.47,235707
40074,72.04,165696
40077,69.71,142853
40078,71.55,28210
40079,68.97,307578
40080,65.89,357456
40081,66.02,315319
40084,66.84,231410
40085,66.71,247345
40086,70.61,386690
40087,70.82,334690
40088,69.95,312014
40091,70.41,346922
40092,70.88,313286
40093,69.57,372435
40094,71.69,405214
40095,71.77,322276
40098,73.27,260226
40099,74.15,361151
40100,75.18,296006
40101,77.58,355573
40102,78.53,224247
40105,79.61,131534
40106,79.09,40158
40107,81.37,395742
40108,81.19,295407
40109,80.5,278641
40112,78.68,363907
40113,79.55,375672
40114,77.46,359438
40115,79.87,360575
40116,77,412394
40119,78.13,371006
40120,79.6,373992
40121,80.4,366103
40122,79.62,257603
40123,77.43,395797
40126,79.43,327402
40127,79.05,371088
40128,79.28,297815
40129,76.94,412833
40130,76.35,335366
40133,78.9,361387
40134,79.14,319240
40135,79.58,253658
40136,77.46,175227
40137,76.72,36361
40140,77.56,382888
40141,76.02,413033
40142,77.96,337389
40144,76.05,301347
40147,77.28,358538
40148,78.37,310483
40149,76.6,340897
40150,76.46,351788
40151,75.47,411579
40154,73.93,359248
40155,72.62,424771
40156,70.67,526968
40157,70.54,407657
40158,69.87,343411
40161,69.51,268931
40162,70.69,262945
40163,72.66,298377
40164,72.65,173958
40165,73.36,122741
40168,72.47,25991
40169,74.4,196830
40170,76.67,205585
40171,78.05,102484
40175,78.77,108895
40176,78.87,137090
40177,79.28,156075
40178,79.36,120372
40182,81.51,263542
40183,81.77,258887
40184,83.18,370059
40185,82.66,246632
40186,82.75,310377
40189,82.52,296304
40190,80.79,333866
40191,79.65,401627
40192,79.39,275404
40193,78,200555
40197,79.02,186882
40198,77.62,40679
40199,76.08,327417
40200,74.54,348819
40203,75.26,280559
40204,74.71,256207
40205,73.67,356179
40206,73.64,292911
40207,72.89,335270
40210,74.43,277411
40211,77.23,366269
40212,76.98,391294
40213,73.14,523892
40214,71.19,596142
40217,71.89,345638
40218,73.75,429845
40219,74.52,422057
40220,75.28,464441
40221,74.13,335805
40225,77.01,365032
40226,77.33,283816
40227,79.06,274169
40228,79.81,183234
40231,80.16,34938
40232,78.86,316878
40233,80,289321
40234,78.17,346025
40235,79.66,319038
40238,78.7,298718
40239,79.68,301698
40240,80.87,306910
40241,80.21,278889
40242,81.5,299634
40245,81.87,295351
40246,81.49,332133
40247,82.09,430148
40248,82.11,279161
40249,81.24,337201
40252,79.8,283135
40253,81.7,290180
40254,82.93,275205
40255,82.2,208343
40256,80.68,150682
40259,81.25,32676
40260,81.91,261873
40261,80.61,307763
40262,80.53,296271
40263,80,324607
40266,82.17,311042
40267,82.37,244435
40268,83.76,371961
40269,84.87,295387
40273,86.62,244106
40274,86.84,290480
40275,85.88,379528
40276,85.39,389596
40277,84.92,442943
40280,84.34,421904
40281,84.05,552298
40282,85.84,425166
40283,85.51,274095
40284,83.24,268760
40287,81.45,122831
40288,83.45,33432
40289,83.68,428236
40290,83.7,433947
40291,85.12,322550
40294,84.2,337123
40295,82.44,462842
40296,83.22,400695
40297,85.17,393689
40298,86.15,392139
40301,86.19,324726
40302,82.74,497427
40303,79.97,512285
40304,77.11,605011
40305,75.11,601534
40308,76.8,447158
40309,76.37,441537
40310,75.65,475847
40311,74.4,532331
40312,71.61,373981
40315,70.08,355833
